"variable","pval"
"TELLER",0.00115190141970417
"ILSBAL",0.000601852674296095
"PHONE",0.0000211699647407643
"INVBAL",0.0000210673626047931
"CHECKS",0.0000148808640628884
"MMBAL",0.00000974842094422576
"NSFAMT",0.0000084359159636754
"POS",0.000000000327848858429177
"IRABAL",0.000000000128367330816486
"DEP",0.00000000000556390441762563
"DDABAL",0.000000000000158378389124539
"DEPAMT",0.0000000000000000912907305504493
"POSAMT",0.0000000000000000300054397718143
"CDBAL",0.000000000000000000000412296453036676
"ATMAMT",0.000000000000000000000000000000000204961604599755
