"variable","pval","class","test"
"CD",0.0000000000000000000000000000000000000000000000000000000000000000000000000000029699297153482,"Binary","MH"
"DDA",0.000000000000000000000000000000000000000000000000000000000000000000000550466133408661,"Binary","MH"
"MM",0.00000000000000000000000000000000000000000000000000000000745050233124569,"Binary","MH"
"MMBAL",0.0000000000000000000000000000000000000000000000357673883589846,"Continuous","Logistic Regression"
"SAV",0.00000000000000000000000000000000000000144270478056237,"Binary","MH"
"DEP",0.0000000000000000000000000000000000000231217296794663,"Continuous","Logistic Regression"
"IRA",0.000000000000000000000000000000000000489174623148719,"Binary","MH"
"CDBAL",0.00000000000000000000000000000000000105262205728042,"Continuous","Logistic Regression"
"CC",0.0000000000000000000000000000000243884944406858,"Binary","MH"
"ATM",0.0000000000000000000000000000159452550330142,"Binary","MH"
"DDABAL",0.0000000000000000000000199470988872283,"Continuous","Logistic Regression"
"INV",0.00000000000000000000105113526643377,"Binary","MH"
"PHONE",0.000000000000000000143159888559523,"Continuous","Logistic Regression"
"MMCRED",0.00000000000000084697817338109,"Ordinal","MH"
"BRANCH",0.0000000000000548802355744572,"Nominal","Chi Squared"
"HMVAL",0.00000000000666309694339185,"Continuous","Logistic Regression"
"CHECKS",0.0000000000192407515865212,"Continuous","Logistic Regression"
"IRABAL",0.0000000000327350055658157,"Continuous","Logistic Regression"
"DIRDEP",0.0000000000366684290775062,"Binary","MH"
"NSF",0.0000000000493493403742658,"Binary","MH"
"CCPURC",0.000000000106661177545903,"Ordinal","MH"
"SDB",0.000000000430516639415482,"Binary","MH"
"ATMAMT",0.0000000584717525699855,"Continuous","Logistic Regression"
"POS",0.000000621790027538635,"Continuous","Logistic Regression"
"INAREA",0.000000745031940762837,"Binary","MH"
"NSFAMT",0.000134753127790975,"Continuous","Logistic Regression"
"DEPAMT",0.000372310815991541,"Continuous","Logistic Regression"
"CASHBK",0.000705849659564023,"Ordinal","MH"
